0.46364340026408046,-0.5789281974229388,0.2384073208202604,-0.3266593799356256,0.035875470821996686,-0.017071118046875135,-0.21345408473127353,0.2537008007854566,-0.5433334210792452,0.20887566114251593,-0.3895648193356101,-0.06374356872922662,-0.02338596363110499,-0.049628921367755055,0.32351792827022247,0.09051448815915651,0.6755424100091231,0.20452438080021773,1.0,0.38086782315712775;1,0,0,0,0
0.5935383011985409,-0.7115313035062905,0.2542259727032336,-0.38383216640531054,0.017449286914755155,0.034185026259822004,-0.26737976502109984,0.4164901647828805,-0.6463150738441651,0.39999619140579035,-0.6430735731133256,-0.055578998910794083,-0.24982593068736608,-0.24700364773319441,0.2093722277218805,-0.17732449936723,0.6064089880235094,0.0790040415950668,1.0,0.3220427305888483;1,0,0,0,0
0.6901222332342254,-0.9322101090188305,0.24685855836707932,-0.950164173128196,0.0009250082590023388,-0.5307169706713748,-0.0781631978856954,-0.03376101514540502,-0.2620121141025473,0.4235877106045592,-0.6769739015526925,0.22322051282716382,-0.4306292669134795,-0.018155730252246684,-0.023415329745492586,0.2749659058012536,0.40142533449623785,0.5334513524149509,0.8934919061777339,0.5252725470763134;1,0,0,0,0
0.7131524008350734,-1.0,0.6085940737182881,-0.49556334439789085,0.35418194095549693,-0.053973172688273334,0.015630194276866054,0.306008944123894,-0.45470297864855935,0.4521920668058453,-0.7544885177453021,0.08573959372084947,-0.4458105961540466,-0.25815600092319724,0.034997237284542744,-0.11435750001154121,0.45566913040124624,0.17797314216419102,0.8985386221294366,0.4521920668058453;1,0,0,0,0
0.6084381939304219,-0.714655810510733,0.351265668546178,-0.4334206946426268,0.07115661595019765,-0.17261205197859072,-0.1902307098273459,0.10103751959788601,-0.5392659361637165,0.16354679514642448,-0.4395859902551009,-0.16033999049989572,-0.05767844559208836,-0.12495658853440436,0.2904662791721888,0.03428198176996332,0.6410800034693432,0.19218329672452492,1.0,0.32383419689119175;1,0,0,0,0
0.33245382585751965,-0.9003015454202792,0.10651502293582127,-0.6307487877018854,0.0290237467018468,-0.21283671569646298,-0.15389238978925981,0.17728214486721341,-0.5039066525426897,0.3613402377701639,-0.4700067865631495,-0.0024771938363985216,-0.06444407189367377,-0.0015935137770211934,0.2829899961723052,0.2611493949807178,0.6236123093056252,0.5299865513512172,0.9999999999999996,0.6775348661892199;1,0,0,0,0
0.7315315315315315,-0.752972972972973,0.41763170419108486,-0.3895106193496904,0.1582291388401485,0.021680771069761327,-0.19756457236503364,0.3496676728679803,-0.6658457633969395,0.40748252370693544,-0.7225970742951672,-0.0013746588275194392,-0.33768769366892065,-0.26972972972972986,0.12646517500705765,-0.13583292965230223,0.5670992121753656,0.057468525006601545,1.0,0.21351351351351336;1,0,0,0,0
0.939675653341597,-0.6895981820059912,0.5942999561646117,-0.2688170515060021,0.15442773858808795,0.052803845170074096,-0.28292051683138253,0.3520249481917791,-0.7494060530936886,0.23413013345833988,-0.6857671709509774,-0.2857233775460786,-0.17590069565669042,-0.3879764487139759,0.31907371420303754,-0.19419970796409414,0.6493621802338754,0.23976995147879557,1.0,0.6073752711496745;1,0,0,0,0
0.3523999999999999,-1.0,0.29706666666666653,-0.5896396333881581,0.2677625741039154,-0.16672514820783102,0.04322610442786666,0.18344056223879995,-0.3362373234657311,0.35263732346573096,-0.6214666666666668,0.18033946439460646,-0.3785800112773921,-0.10359999999999994,-0.007536830868131162,0.06766316913186907,0.32421284464337374,0.33301284464337394,0.7065333333333332,0.4608000000000001;1,0,0,0,0
0.9339142353632269,-0.7569022909731741,0.5200464548599184,-0.4355545809613479,0.22143403653710583,-0.009591704091116628,-0.1828530839218795,0.31034175637253153,-0.6784734109078641,0.40620716663403145,-0.8106028660714926,-0.05668735577555767,-0.3726670811520134,-0.2810847855884082,0.13172140242596256,-0.1753475621695713,0.5763042922571057,0.0973090556173927,1.0,0.39299001370667686;1,0,0,0,0
